time,R0_V,R0_V_sd,dt,NTU,NTU_sd
1655481279.67,0.257415771484375,0.0114713677599057,17-06-2022 15:54:39.6700,51.966159633292,-47.5304754428302
1655484879.663,0.24627685546875,0.0106453311558674,17-06-2022 16:54:39.6630,47.4599190148154,-47.8646479684372
1655488479.656,0.2392578125,0.00977224763943134,17-06-2022 17:54:39.6560,44.6203701319397,-48.2178532892752
1655492079.704,0.225448608398438,0.00925994091623905,17-06-2022 18:54:39.7040,39.0338663514995,-48.4251066128418
1655495679.696,0.216217041015625,0.0106045531600242,17-06-2022 19:54:39.6959,35.2992422772826,-47.8811446778972
1655499279.689,0.21148681640625,0.00705427416026618,17-06-2022 20:54:39.6889,33.3856332475186,-49.3174075434392
1655502879.673,0.201187133789062,0.00945217997033294,17-06-2022 21:54:39.6730,29.2189039085162,-48.3473364390834
1655506479.664,0.200347900390625,0.00823566317224597,17-06-2022 22:54:39.6640,28.879392629042,-48.8394774518094
1655510079.724,0.19195556640625,0.00764687244002153,17-06-2022 23:54:39.7240,25.4842798342993,-49.0776723272901
1655513679.646,0.1861572265625,0.00754344115363606,18-06-2022 00:54:39.6460,23.1385655397499,-49.1195153812531
1655517279.717,0.18157958984375,0.00895504556832524,18-06-2022 01:54:39.7170,21.2866858335266,-48.548451810815
1655520879.709,0.175552368164062,0.00605982760866172,18-06-2022 02:54:39.7090,18.848377553666,-49.7197101945642
1655524479.699,0.175247192382812,0.0073048160936151,18-06-2022 03:54:39.6990,18.7249189065844,-49.2160509809959
1655528079.682,0.16998291015625,0.00750038458581603,18-06-2022 04:54:39.6820,16.5952572444277,-49.1369338853994
1655531679.676,0.17578125,0.00733988809344393,18-06-2022 05:54:39.6760,18.9409715389771,-49.2018626281995
1655535279.734,0.18280029296875,0.00714064201352876,18-06-2022 06:54:39.7340,21.7805204218528,-49.2824674893122
1655538879.726,0.188140869140625,0.00921581687591892,18-06-2022 07:54:39.7260,23.9410467457799,-48.4429569622352
1655542479.718,0.194625854492188,0.00846307546674773,18-06-2022 08:54:39.7180,26.5645429962629,-48.7474779684496
1655546079.702,0.197601318359375,0.00863795530556329,18-06-2022 09:54:39.7020,27.768264805308,-48.6767304529896
1655549679.694,0.206298828125,0.00842288893821556,18-06-2022 10:54:39.6939,31.2868362471322,-48.7637354002261
1655553279.687,0.20538330078125,0.00743585563845093,18-06-2022 11:54:39.6870,30.9164603058876,-49.1630390255473
1655556879.743,0.204010009765625,0.00899356720114328,18-06-2022 12:54:39.7430,30.3608963940206,-48.5328679114256
1655560479.727,0.203857421875,0.00792413348242694,18-06-2022 13:54:39.7270,30.2991670704798,-48.9655065681215
1655564079.719,0.19561767578125,0.0104551334172487,18-06-2022 14:54:39.7190,26.9657835992779,-47.9415923294597
1655567679.712,0.191802978515625,0.00868510088120637,18-06-2022 15:54:39.7120,25.4225505107586,-48.6576577436123
1655571279.705,0.1849365234375,0.00859252963367904,18-06-2022 16:54:39.7050,22.6447309514237,-48.6951073765142
1655574879.7,0.176467895507812,0.00724465500923816,18-06-2022 17:54:39.7000,19.2187534949106,-49.2403891052524
1655578479.76,0.171966552734375,0.00654213162471415,18-06-2022 18:54:39.7600,17.3977384504577,-49.5245944450118
1655582079.685,0.16815185546875,0.00886349363544168,18-06-2022 19:54:39.6850,15.8545053619384,-48.5854890806967
1655585679.676,0.161819458007812,0.00756508486828392,18-06-2022 20:54:39.6760,13.2927384349962,-49.1107594317564
1655589279.637,0.150299072265625,0.00729093514564969,18-06-2022 21:54:39.6370,8.63217450766762,-49.2216665087059
1655592879.631,0.14617919921875,0.00632334068785374,18-06-2022 22:54:39.6310,6.96548277206668,-49.6131061642179
1655596479.676,0.1416015625,0.00630183543069404,18-06-2022 23:54:39.6760,5.11360306584342,-49.6218061008354
1655600079.607,0.13458251953125,0.00660550294893624,19-06-2022 00:54:39.6070,2.27405418296774,-49.4989576204899
1655603679.664,0.128936767578125,0.00560756038730048,19-06-2022 01:54:39.6640,-0.00993078804094808,-49.9026745800075
1655607279.65,0.123748779296875,0.00608204817054583,19-06-2022 02:54:39.6500,-2.10872778842731,-49.7107208819249
1655610879.641,0.11962890625,0.00577401989034748,19-06-2022 03:54:39.6410,-3.77541952402825,-49.8353335054443
1655614479.641,0.119171142578125,0.0050772785095292,19-06-2022 04:54:39.6410,-3.96060749465058,-50.1171997396822
1655618079.69,0.11077880859375,0.006035494571334,19-06-2022 05:54:39.6899,-7.35572028939323,-49.7295541076544
1655621680.028,0.108108520507812,0.00564014110493863,19-06-2022 06:54:40.0280,-8.4359834513568,-49.8894940736643
1655625279.652,0.104217529296875,0.004557008695634,19-06-2022 07:54:39.6520,-10.0100812016466,-50.3276745259768
1655628879.65,0.105667114257812,0.00560916912044023,19-06-2022 08:54:39.6500,-9.42365262800921,-49.9020237681504
1655632479.644,0.1080322265625,0.00629366415633885,19-06-2022 09:54:39.6440,-8.46684811312719,-49.625111784113
1655636079.698,0.101394653320312,0.00650301712540021,19-06-2022 10:54:39.6979,-11.1520736871509,-49.540418188124
1655639679.689,0.09063720703125,0.00566401578347629,19-06-2022 11:54:39.6889,-15.5039909967756,-49.8798355892994
1655643279.671,0.099639892578125,0.00658192806445325,19-06-2022 12:54:39.6710,-11.8619609078698,-49.5084948233815
1655646879.666,0.10040283203125,0.00512365850564768,19-06-2022 13:54:39.6660,-11.553314290166,-50.0984367449617
1655650479.656,0.095977783203125,0.0056342983775954,19-06-2022 14:54:39.6560,-13.3434646728485,-49.8918577448905
1655654079.708,0.106964111328125,0.00542791399794517,19-06-2022 15:54:39.7080,-8.89895337791262,-49.9753504001268
1655657679.698,0.107421875,0.00580767344816608,19-06-2022 16:54:39.6979,-8.71376540729029,-49.8217189823627
1655661279.682,0.103607177734375,0.00577683554944922,19-06-2022 17:54:39.6820,-10.2569984958097,-49.8341944325404
1655664879.667,0.104827880859375,0.0052405514817146,19-06-2022 18:54:39.6670,-9.76316390748347,-50.0511477739318
1655668479.658,0.106658935546875,0.00498859313021045,19-06-2022 19:54:39.6580,-9.02241202499417,-50.1530773473408
1655672079.709,0.107421875,0.00535427660789907,19-06-2022 20:54:39.7090,-8.71376540729029,-50.0051403543377
1655675679.701,0.106964111328125,0.00462633873378437,19-06-2022 21:54:39.7010,-8.89895337791262,-50.2996271079376
1655679279.683,0.10528564453125,0.00453022899885234,19-06-2022 22:54:39.6830,-9.57797593686115,-50.3385082334236
1655682879.667,0.106658935546875,0.0049519574155932,19-06-2022 23:54:39.6670,-9.02241202499417,-50.1678982998522
1655686479.64,0.104522705078125,0.00458302138588529,20-06-2022 00:54:39.6400,-9.88662255456503,-50.3171511104809
1655690079.701,0.105438232421875,0.00494248440901586,20-06-2022 01:54:39.7010,-9.51624661332037,-50.1717305979823
1655693679.687,0.10650634765625,0.0063963370204952,20-06-2022 02:54:39.6870,-9.08414134853494,-49.5835755493279
1655697279.697,0.104217529296875,0.00539276108345016,20-06-2022 03:54:39.6969,-10.0100812016466,-49.9895714868944
1655700879.63,0.097198486328125,0.00494501512624491,20-06-2022 04:54:39.6300,-12.8496300845222,-50.170706798112
1655704479.678,0.0949859619140625,0.00561652778768898,20-06-2022 05:54:39.6780,-13.7447052758635,-49.8990468245045
1655708079.666,0.089263916015625,0.00396672993751467,20-06-2022 06:54:39.6660,-16.0595549086426,-50.5664713812839
1655711679.655,0.08758544921875,0.00422124195848046,20-06-2022 07:54:39.6550,-16.7385774675911,-50.463508722695
1655715279.648,0.086822509765625,0.00423216292258299,20-06-2022 08:54:39.6480,-17.047224085295,-50.4590906543693
1655718879.64,0.094757080078125,0.00455389884317532,20-06-2022 09:54:39.6400,-13.8372992611747,-50.3289326145957
1655722479.69,0.10009765625,0.00521782517905923,20-06-2022 10:54:39.6899,-11.6767729372475,-50.0603416836434
1655726079.681,0.0997161865234375,0.00512952647702993,20-06-2022 11:54:39.6810,-11.8310962460995,-50.0960628612773
1655729679.665,0.106964111328125,0.00612291973519221,20-06-2022 12:54:39.6650,-8.89895337791262,-49.6941863192716
1655733279.656,0.107879638671875,0.00576716321073897,20-06-2022 13:54:39.6560,-8.52857743666796,-49.8381073703443
